PROF_LIB_FeDolomiteAnkerite_Wavelength (nm),PROF_LIB_FeDolomiteAnkerite_Reflectance (%)
452,54.93
456,54.99
460,55.49
464,55.65
468,55.81
472,55.82
476,55.87
480,55.92
484,56.07
488,56.36
492,56.29
496,56.48
500,56.56
504,56.51
508,56.62
512,56.78
516,56.71
520,56.7
524,56.62
528,56.69
532,56.68
536,56.71
540,56.61
544,56.78
548,56.7
552,56.6
556,56.5
560,56.45
564,56.4
568,56.35
572,56.16
576,56.05
580,55.91
584,55.94
588,55.92
592,55.94
596,55.91
600,56.03
604,55.96
608,55.98
612,56
616,55.92
620,55.98
624,55.95
628,55.87
632,55.84
636,55.73
640,55.66
644,55.75
648,55.74
652,55.64
656,55.69
660,55.76
664,55.71
668,55.64
672,55.57
676,55.62
680,55.48
684,55.51
688,55.57
692,55.54
696,55.56
700,55.53
704,55.67
708,55.44
712,55.32
716,55.35
720,55.38
724,55.32
728,55.32
732,55.12
736,54.79
740,54.7
744,54.64
748,54.7
752,54.86
756,54.81
760,54.71
764,54.69
768,54.48
772,54.61
776,54.48
780,54.26
784,54.32
788,54.09
792,53.98
796,53.77
800,53.62
804,53.62
808,53.58
812,53.62
816,53.54
820,53.54
824,53.46
828,53.27
832,53.18
836,52.99
840,52.81
844,52.52
848,52.31
852,52.25
856,52.16
860,51.83
864,51.62
868,51.35
872,51.17
876,51.05
880,50.95
884,50.82
888,50.57
892,50.27
896,50.33
900,50.01
904,50.01
908,49.76
912,49.5
916,49.32
920,49.16
924,48.83
928,48.85
932,48.53
936,48.45
940,48.27
944,48.21
948,48.03
952,47.77
956,47.56
960,47.49
964,47.25
968,46.94
972,46.83
976,46.73
980,46.8
984,46.45
988,46.39
992,46.3
996,46.28
1000,45.99
1004,46
1008,45.96
1012,45.97
1016,45.62
1020,45.63
1024,45.64
1028,45.72
1032,45.54
1036,45.4
1040,45.56
1044,45.66
1048,45.51
1052,45.42
1056,45.49
1060,45.54
1064,45.41
1068,45.53
1072,45.72
1076,45.84
1080,45.72
1084,45.71
1088,45.76
1092,45.78
1096,45.63
1100,45.9
1104,46.07
1108,45.93
1112,46.21
1116,45.98
1120,46.14
1124,46.25
1128,46.34
1132,46.26
1136,46.23
1140,46.31
1144,46.26
1148,46.2
1152,46.52
1156,46.46
1160,46.51
1164,46.45
1168,46.49
1172,46.56
1176,46.33
1180,46.34
1184,46.5
1188,46.49
1192,46.29
1196,46.36
1200,46.37
1204,46.59
1208,46.51
1212,46.6
1216,46.47
1220,46.49
1224,46.58
1228,46.46
1232,46.31
1236,46.55
1240,46.46
1244,46.37
1248,46.49
1252,46.59
1256,46.39
1260,46.44
1264,46.57
1268,46.61
1272,46.59
1276,46.75
1280,46.65
1284,46.66
1288,46.66
1292,46.76
1296,46.67
1300,46.7
1304,46.84
1308,46.96
1312,46.69
1316,47.01
1320,47.04
1324,47.05
1328,47.1
1332,47.21
1336,47.32
1340,47.42
1344,47.42
1348,47.68
1352,47.47
1356,47.72
1360,47.6
1364,47.83
1368,47.93
1372,47.84
1376,47.87
1380,47.9
1384,47.82
1388,47.91
1392,47.83
1396,47.93
1400,47.92
1404,47.79
1408,47.74
1412,47.93
1416,47.8
1420,47.79
1424,47.87
1428,47.96
1432,48
1436,48.1
1440,48.14
1444,48.14
1448,48.45
1452,48.53
1456,48.56
1460,48.55
1464,48.57
1468,48.77
1472,48.91
1476,49.09
1480,49.29
1484,49.52
1488,49.78
1492,49.93
1496,50.01
1500,50.32
1504,50.2
1508,50.43
1512,50.62
1516,50.7
1520,51.02
1524,51.12
1528,51.26
1532,51.51
1536,51.66
1540,51.58
1544,51.61
1548,51.83
1552,51.8
1556,51.84
1560,52.17
1564,52.2
1568,52.29
1572,52.48
1576,52.57
1580,52.57
1584,52.61
1588,52.73
1592,52.82
1596,52.9
1600,52.87
1604,52.87
1608,52.96
1612,53.09
1616,53.19
1620,53.22
1624,53.16
1628,53.19
1632,53.2
1636,53.18
1640,53.31
1644,53.46
1648,53.52
1652,53.55
1656,53.62
1660,53.6
1664,53.52
1668,53.49
1672,53.47
1676,53.41
1680,53.35
1684,53.38
1688,53.5
1692,53.56
1696,53.38
1700,53.32
1704,53.35
1708,53.43
1712,53.5
1716,53.4
1720,53.39
1724,53.33
1728,53.19
1732,53.05
1736,53.06
1740,53.15
1744,53.16
1748,53.12
1752,53.22
1756,53.26
1760,53.33
1764,53.33
1768,53.22
1772,53.12
1776,53.04
1780,53
1784,52.88
1788,52.89
1792,52.74
1796,52.64
1800,52.64
1804,52.6
1808,52.47
1812,52.42
1816,52.36
1820,52.38
1824,52.29
1828,52.2
1832,52.1
1836,51.89
1840,51.73
1844,51.63
1848,51.35
1852,50.99
1856,50.7
1860,50.46
1864,50.29
1868,50.23
1872,50.09
1876,49.72
1880,49.04
1884,48.14
1888,47.05
1892,45.92
1896,44.79
1900,43.8
1904,42.95
1908,42.28
1912,41.86
1916,41.51
1920,41.12
1924,40.85
1928,40.69
1932,40.51
1936,40.48
1940,40.56
1944,40.71
1948,40.8
1952,40.9
1956,41.05
1960,41.16
1964,41.4
1968,41.59
1972,41.73
1976,41.94
1980,42.18
1984,42.57
1988,43.01
1992,43.41
1996,43.7
2000,44.02
2004,44.28
2008,44.67
2012,45.19
2016,45.56
2020,45.8
2024,45.95
2028,46.09
2032,46.37
2036,46.5
2040,46.62
2044,46.9
2048,47.12
2052,47.28
2056,47.39
2060,47.37
2064,47.48
2068,47.69
2072,47.88
2076,47.99
2080,48.07
2084,48.03
2088,47.96
2092,48.15
2096,48.46
2100,48.56
2104,48.6
2108,48.47
2112,48.42
2116,48.4
2120,48.35
2124,48.35
2128,48.28
2132,48.21
2136,48.15
2140,48.27
2144,48.18
2148,48.02
2152,48.08
2156,48.09
2160,48.03
2164,48.06
2168,47.9
2172,47.69
2176,47.49
2180,47.33
2184,47.17
2188,46.91
2192,46.61
2196,46.42
2200,46.18
2204,45.97
2208,45.55
2212,45.05
2216,44.8
2220,44.62
2224,44.36
2228,43.87
2232,43.47
2236,42.93
2240,42.16
2244,41.44
2248,40.56
2252,39.59
2256,38.77
2260,38.14
2264,37.52
2268,36.94
2272,36.54
2276,36.23
2280,35.93
2284,35.68
2288,35.23
2292,34.74
2296,34.27
2300,33.81
2304,33.46
2308,33.12
2312,32.7
2316,32.36
2320,32.23
2324,32.33
2328,32.81
2332,33.71
2336,34.9
2340,36.19
2344,37.65
2348,39.2
2352,40.44
2356,41.24
2360,41.64
2364,41.79
2368,41.86
2372,41.7
2376,41.42
2380,40.98
2384,40.63
2388,40.46
2392,40.05
2396,39.6
2400,39.17
2404,38.78
2408,38.42
2412,37.85
2416,37.22
2420,36.42
2424,35.64
2428,34.78
2432,33.94
2436,33.08
2440,32.1
2444,31.22
2448,30.29
2452,29.57
2456,28.95
2460,28.45
2464,28.08
2468,27.78
2472,27.41
2476,27.1
2480,26.79
2484,26.22
2488,25.64
2492,25.28
2496,25
2500,24.74
2504,24.48
2508,24.19
2512,24.14
2516,24.18
2520,24.51
2524,25
2528,25.74
2532,26.8
2536,28.11
2540,29.14
2544,30.23
2548,31.26
2552,32.24
2556,32.9
2560,33.87
